Date,Conf Time,Entry Time,Instrument,Conf Type,Direction,Session,Entry Method,Status,Entry Price,Stop Price,Target Price,Exit Price
07/25/2018,11:55,12:10,ES,Confirmed,Long,RDR,Mode,W,2826,2824.5,2835.25,2835.25
07/24/2018,11:50,12:30,ES,Confirmed,Short,RDR,Mode,W,2825.75,2828,2813,2813
07/24/2018,,10:50,ES,No Conf,Long,RDR,Frontrun,EX,2829,2827,2837,2827
07/23/2018,,11:10,ES,No Conf,Long,RDR,Frontrun,W,2801,2799.5,2807.5,2807.5
07/19/2018,,11:50,ES,No Conf,Short,RDR,Advanced,BE,2810.5,2812,2800.25,2810.5
07/18/2018,,10:30,ES,No Conf,Short,RDR,Frontrun,BE,2810,2811.25,2801,2810
07/18/2018,4:05,7:25,ES,Confirmed,Short,ODR,Advanced,BE,2811,2812,2801,2811
07/17/2018,,10:25,ES,No Conf,Long,RDR,Frontrun,W,2797.5,2795.5,2810.25,2810.25
07/16/2018,,10:35,ES,No Conf,Short,RDR,Frontrun,BE,2800,2802.25,2789,2800
07/13/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,W,2798.75,2797.5,2807.25,2802.5
07/12/2018,10:30,10:50,ES,Wick,Long,RDR,Mode,W,2789.25,2787.5,2802.25,2802.25
07/12/2018,10:30,10:40,ES,Wick,Long,RDR,Mode,EX,2792.25,2790.5,2802.25,2790.5
07/11/2018,10:30,10:45,ES,Wick,Long,RDR,Mode,EX,2784.25,2782.25,2795.75,2782.25
07/10/2018,10:35,11:30,ES,Confirmed,Long,RDR,Mode,BE,2792.5,2790.75,2799.75,2792.5
07/09/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,W,2775.5,2774.25,2784.75,2784.75
07/06/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,W,2745.75,2743.75,2762,2762
07/05/2018,10:35,10:45,ES,Confirmed,Short,RDR,Mode,BE,2724.5,2726.25,2713.25,2724.5
07/02/2018,10:30,12:10,ES,Confirmed,Long,RDR,Median,EX,2707.5,2705.25,2721.75,2705.25
06/29/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,W,2736.25,2734.5,2745,2745
06/28/2018,10:55,12:25,ES,Confirmed,Long,RDR,Median,W,2702.5,2700,2717.25,2717.25
06/28/2018,4:00,8:00,ES,Confirmed,Short,ODR,Advanced,W,2707.25,2710,2694.75,2694.75
06/27/2018,10:35,12:20,ES,Confirmed,Short,RDR,Advanced,W,2740.75,2744.25,2705.5,2705.5
06/26/2018,,11:45,ES,Wick,Short,RDR,Retired,EX,2725,2727.75,2711.5,2727.75
06/18/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,W,2767.25,2765.25,2778.5,2778.5
06/12/2018,,11:20,ES,No Conf,Long,RDR,Frontrun,BE,2783.25,2782,2790,2783.25
06/11/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,EX,2783,2781.75,2789.25,2781.75
06/08/2018,11:10,11:35,ES,Confirmed,Long,RDR,Retired,W,2766.5,2764.75,2777.25,2777.25
06/07/2018,10:30,11:15,ES,Confirmed,Short,RDR,Mode,W,2774.5,2776.5,2761.75,2761.75
06/07/2018,10:30,11:00,ES,Confirmed,Short,RDR,Mode,EX,2771.75,2774,2761.75,2774
06/06/2018,,11:00,ES,No Conf,Long,RDR,Advanced,W,2753.25,2751.5,2767.25,2767.25
06/05/2018,11:05,11:20,ES,Confirmed,Short,RDR,Mode,W,2746.5,2748,2740.75,2740.75
06/05/2018,,10:35,ES,No Conf,Short,RDR,Frontrun,W,2749.5,2751.5,2742,2742
06/04/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,W,2741.5,2739.5,2754.75,2746.75
06/01/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,EX,2727.75,2725.5,2738.75,2725.5
05/31/2018,10:45,11:45,ES,Confirmed,Long,RDR,Advanced,EX,2717.5,2715.5,2728.25,2715.5
05/31/2018,,10:35,ES,No Conf,Short,RDR,Frontrun,BE,2714.75,2716.25,2706.75,2714.75
05/30/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,W,2706.25,2704.5,2723.25,2723.25
05/29/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,EX,2702.5,2700.25,2718.25,2700.25
05/25/2018,10:30,10:45,ES,Wick,Long,RDR,Mode,EX,2723.5,2721.25,2737.5,2721.25
05/21/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,BE,2735,2734,2741.75,2735
05/17/2018,,9:55,ES,No Conf,Long,RDR,Advanced,BE,2718.5,2716.75,2729.75,2718.5
05/15/2018,,10:30,ES,No Conf,Short,RDR,Frontrun,EX,2708.5,2711.5,2696.25,2711.5
05/14/2018,,10:45,ES,Confirmed,Long,RDR,Mode,EX,2739.75,2738.75,2746.75,2738.75
05/11/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,BE,2728.25,2726.5,2735.25,2728.25
05/10/2018,,10:45,ES,Confirmed,Long,RDR,Mode,W,2709.5,2708.5,2722,2722
05/09/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,EX,2677.25,2675.25,2688,2675.25
05/08/2018,10:50,11:00,ES,Confirmed,Long,RDR,Mode,EX,2865.5,2663.75,2675.75,2663.75
05/07/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,EX,2675.25,2673.5,2682,2673.5
05/04/2018,,9:35,ES,No Conf,Long,RDR,Advanced,W,2615.25,2611,2661,2661
05/03/2018,10:30,11:00,ES,Confirmed,Long,RDR,Advanced,W,2596.25,2591,2631.25,2631.25
05/03/2018,,9:45,ES,No Conf,Long,RDR,Advanced,BE,2613.75,2610.75,2636.25,2613.75
05/02/2018,11:10,11:35,ES,Early I,Long,RDR,Mode,EX,2647.25,2645.25,2658.5,2645.25
05/01/2018,,10:35,ES,No Conf,Short,RDR,Frontrun,W,2637.75,2639.5,2629.25,2629.25
04/26/2018,10:35,12:00,ES,Confirmed,Long,RDR,Mode,BE,2656.25,2652.5,2670.5,2656.25
04/26/2018,10:35,10:45,ES,Confirmed,Long,RDR,Mode,BE,2655.75,2652.5,2667,2655.75
04/24/2018,10:30,10:55,ES,Wick,Short,RDR,Mode,BE,2672.25,2674.75,2656.25,2672.25
04/23/2018,,10:35,ES,No Conf,Short,RDR,Frontrun,BE,2673.25,2675.25,2664,2673.25
04/20/2018,,10:30,ES,No Conf,Short,RDR,Frontrun,W,2687.5,2689.25,2676.25,2676.25
04/19/2018,,10:45,ES,No Conf,Short,RDR,Frontrun,W,2697.75,2700,2685.5,2685.5
04/17/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,W,2699,2697.75,2705.25,2705.25
04/16/2018,12:00,12:40,ES,Confirmed,Long,RDR,Goldfish,W,2676.25,2674.5,2684,2684
04/16/2018,10:30,10:40,ES,Wick,Long,RDR,Mode,EX,2675,2673,2683.75,2673
04/13/2018,10:55,12:00,ES,Confirmed,Short,RDR,Mode,W,2664.25,2668.5,2642.5,2656
04/12/2018,,10:40,ES,No Conf,Long,RDR,Frontrun,EX,2666.75,2663.5,2684,2663.5
04/11/2018,10:30,11:05,ES,Confirmed,Long,RDR,Retired,W,2642.25,2639.25,2658.25,2658.25
04/10/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,BE,2652.25,2649.5,2664.25,2652.25
04/09/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,W,2627.75,2624.5,2648.25,2648.25
04/04/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,W,2584.5,2581.75,2614,2614
03/29/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,W,2620,2617.25,2636.75,2636.75
03/26/2018,10:30,10:40,ES,Wick,Short,RDR,Mode,W,2624.25,2629,2602.75,2602.75
03/23/2018,,11:15,ES,No Conf,Short,RDR,Frontrun,BE,2647.5,2651.5,2617,2647.5
03/19/2018,,10:30,ES,Confirmed,Short,RDR,Mode,W,2737.25,2739.5,2723.5,2723.5
03/14/2018,,10:35,ES,No Conf,Short,RDR,Frontrun,W,2766.5,2769,2752.25,2752.25
03/08/2018,10:35,10:55,ES,Confirmed,Short,RDR,Mode,EX,2730.25,2732.5,2720,2732.5
03/07/2018,10:30,11:10,ES,Confirmed,Long,RDR,Mode,EX,2717,2714.25,2732.75,2714.25
03/06/2018,,10:35,ES,No Conf,Short,RDR,Frontrun,BE,2726.5,2729.75,2710,2726.5
03/05/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,W,2681.5,2679,2693.75,2693.75
03/02/2018,10:40,11:20,ES,Confirmed,Long,RDR,Retired,W,2654.25,2650.5,2684.5,2684.5
03/01/2018,10:30,12:10,ES,Confirmed,Short,RDR,Advanced,W,2709.5,2714,2682.25,2682.25
03/01/2018,10:30,10:50,ES,Confirmed,Long,RDR,Mode,EX,2718.25,2713,2743,2713
02/28/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,EX,2759.25,2756.75,2773.75,2756.75
02/27/2018,10:45,11:15,ES,Confirmed,Short,RDR,Mode,W,2775.25,2780,2760,2760
02/26/2018,10:30,10:40,ES,Confirmed,Short,RDR,Mode,BE,2759.5,2761.75,2742.5,2759.5
02/23/2018,11:00,11:20,ES,Confirmed,Long,RDR,Mode,W,2719.75,2717.75,2732.25,2732.25
02/23/2018,10:30,10:40,ES,Wick,Short,RDR,Mode,EX,2718,2721,2703.25,2721
02/22/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,BE,2716.75,2714,2733,2716.75
02/21/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,BE,2728.5,2726.75,2738.75,2728.5
02/16/2018,10:30,10:55,ES,Confirmed,Long,RDR,Mode,W,2736,2733.5,2750.75,2750.75
02/15/2018,10:40,12:45,ES,Confirmed,Short,RDR,Mode,EX,2711.5,2714.5,2688.25,2714.5
02/15/2018,,10:30,ES,No Conf,Short,RDR,Frontrun,W,2710.5,2712.75,2693.75,2693.75
02/13/2018,10:45,10:55,ES,Confirmed,Long,RDR,Mode,EX,2649.75,2647,2661.25,2647
02/13/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,W,2640.25,2637.75,2661.25,2661.25
02/09/2018,,10:35,ES,No Conf,Short,RDR,Frontrun,W,2602,2606.75,2578.25,2578.25
02/08/2018,,10:30,ES,No Conf,Short,RDR,Frontrun,W,2665.5,2670,2641.25,2641.25
02/07/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,BE,2704,2698.25,2737.25,2704
02/06/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,EX,2635.75,2620,2705.5,2620
02/02/2018,11:55,12:10,ES,Confirmed,Short,RDR,Mode,EX,2790.75,2794.25,2768.5,2794.25
02/02/2018,,10:30,ES,No Conf,Short,RDR,Frontrun,EX,2798.5,2801.25,2777.75,2801.25
02/01/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,W,2819.75,2817,2834.25,2834.25
01/29/2018,,10:30,ES,No Conf,Short,RDR,Frontrun,W,2865.75,2868.25,2855.25,2855.25
01/26/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,W,2849.75,2848.25,2857.75,2857.75
01/25/2018,,10:35,ES,No Conf,Short,RDR,Frontrun,BE,2842.5,2845,2828.75,2842.5
01/24/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,EX,2852,2850.75,2857.25,2850.75
01/23/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,BE,2838,2835.25,2848.5,2838
01/19/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,EX,2805.5,2803.5,2814.5,2803.5
01/17/2018,,10:30,ES,No Conf,Long,RDR,Frontrun,W,2784.75,2782.75,2800.75,2800.75
01/12/2018,10:35,11:20,ES,Confirmed,Long,RDR,Mode,W,2779.25,2777.5,2787.75,2787.75
01/11/2018,,10:35,ES,No Conf,Long,RDR,Frontrun,W,2754,2752.5,2764,2764
01/10/2018,10:40,10:55,ES,Wick,Long,RDR,Mode,W,2743.75,2741.75,2752.75,2748.75
01/09/2018,10:30,10:55,ES,Wick,Long,RDR,Retired,W,2749.5,2748,2758.25,2758.25
01/08/2018,10:30,10:45,ES,Wick,Long,RDR,Mode,W,2739.5,2738,2747.25,2747.25
01/05/2018,11:15,13:00,ES,Confirmed,Long,RDR,Mode,W,2732,2730.75,2738.75,2738.75
01/04/2018,10:30,11:15,ES,Confirmed,Long,RDR,Mode,EX,2723.75,2721.75,2733.25,2721.75
01/03/2018,10:30,11:05,ES,Confirmed,Long,RDR,Mode,W,2706,2704.75,2714.75,2712.5
