Date,Entry Time,Instrument,Conf Type,Direction,Session,Entry Method,Status,Entry Price,Stop Price,Target Price,Exit Price
06/07/2022,10:30,ES,Confirmed,Long,RDR,Frontrun,BE,4115.25,4109.75,4141.25,4115.25
06/07/2022,12:20,ES,Confirmed,Long,RDR,Mode,W,4111.25,4105.75,4149,4149
06/06/2022,10:30,ES,Confirmed,Short,RDR,Advanced,W,4163.25,4168.75,4108,4108
06/02/2022,10:20,ES,Confirmed,Short,RDR,Frontrun,BE,4091.25,4098.25,4055.5,4091.25
06/02/2022,8:20,ES,Confirmed,Long,ODR,Advanced,EX,4115.75,4110.75,4161,4110.75
06/01/2022,10:00,ES,Confirmed,Short,RDR,Advanced,W,4150.75,4158.75,4078.5,4078.5
06/01/2022,8:25,ES,Confirmed,Long,ODR,Advanced,BE,4148,4143.25,4177.5,4148
05/31/2022,10:30,ES,Confirmed,Long,RDR,Mode,BE,4124.5,4118,4177.5,4124.5
05/30/2022,7:15,ES,Confirmed,Short,ODR,Mode,W,4188,4192,4156.25,4177.5
05/27/2022,8:35,ES,Confirmed,Long,In Between,Advanced,W,4068.5,4064.25,4119,4119
05/26/2022,10:25,ES,Confirmed,Long,RDR,Frontrun,W,4035.25,4029.25,4086.25,4055.5
05/26/2022,9:15,ES,Confirmed,Long,In Between,Advanced,W,3995.25,3986.5,4058.5,4058.5
05/25/2022,9:50,ES,Confirmed,Short,RDR,Mode,EX,3937,3946,3894.25,3946
05/25/2022,10:25,ES,Confirmed,Long,RDR,Frontrun,BE,3959.25,3952,4012,3959.25
05/24/2022,10:30,ES,Confirmed,Short,RDR,Mode,BE,3892.5,3902.25,3833.75,3892.5
05/24/2022,7:05,ES,Confirmed,Long,ODR,Mode,EX,3930.25,3923.5,3977.75,3923.5
05/24/2022,9:35,ES,Confirmed,Short,RDR,Mode,BE,3923.75,3933.25,3847.5,3923.75
05/23/2022,10:20,ES,Confirmed,Long,RDR,Mode,EX,3932.25,3924.25,3969.5,3924.25
05/23/2022,10:35,ES,Confirmed,Long,RDR,Mode,EX,3943.5,3935.75,3972.5,3935.75
05/23/2022,10:55,ES,Confirmed,Long,RDR,Mode,W,3940,3930.25,3987,3972
05/20/2022,10:30,ES,Confirmed,Short,RDR,Frontrun,W,3913.25,3920.75,3861.25,3861.25
05/20/2022,9:55,ES,Confirmed,Short,RDR,Advanced,W,3932.25,3937.5,3896.75,3896.75
05/20/2022,7:20,ES,Confirmed,Long,ODR,Advanced,BE,3937,3931.5,3967.5,3937
05/19/2022,8:45,ES,Confirmed,Short,In Between,Advanced,EX,3878.5,3888.75,3799.25,3888.75
05/19/2022,9:35,ES,Confirmed,Long,RDR,Mode,EX,3905.5,3894,3969.25,3894
05/19/2022,12:05,ES,Confirmed,Long,RDR,Mode,EX,3921.5,3912.25,3970,3912.25
05/18/2022,10:50,ES,Confirmed,Short,RDR,Mode,W,4011,4017.75,3966.25,3966.25
05/18/2022,9:30,ES,Confirmed,Short,RDR,M7 Candle,W,4038.25,4045.25,3980,3980
05/18/2022,7:05,ES,Confirmed,Short,ODR,Advanced,W,4063,4066.25,4030.25,4030.25
05/17/2022,10:30,ES,Confirmed,Short,RDR,Frontrun,BE,4046.5,4051.5,4006.5,4046.5
05/17/2022,11:45,ES,Confirmed,Long,RDR,Advanced,EX,4055.5,4050.5,4089.75,4050.5
05/17/2022,8:50,ES,Confirmed,Long,In Between,Advanced,BE,4060.25,4054.75,4103.75,4060.25
05/16/2022,12:15,ES,Wick,Long,RDR,Mode,EX,4008.75,4001,4050.5,4001
05/16/2022,10:25,ES,Confirmed,Long,RDR,Frontrun,EX,4010.25,4002.75,4050.75,4002.75
05/13/2022,10:35,ES,Confirmed,Long,RDR,Frontrun,EX,4015,4008.5,4040.25,4008.5
05/13/2022,9:35,ES,Confirmed,Long,RDR,Advanced,W,3972.5,3964,4023.25,4023.25
05/12/2022,7:35,ES,Confirmed,Short,ODR,Advanced,BE,3909.75,3914.75,3879.25,3909.75
05/12/2022,10:40,ES,Confirmed,Long,RDR,Frontrun,BE,3915.75,3906,3965.25,3915.75
05/10/2022,10:25,ES,Confirmed,Short,RDR,Frontrun,W,4034.5,4042.25,3966.75,3966.75
05/10/2022,7:30,ES,Confirmed,Short,ODR,Advanced,EX,4012.25,4018,3949.5,4018
05/09/2022,12:15,ES,Confirmed,Short,RDR,Mode,W,4040.25,4050.25,3979.5,3979.5
05/09/2022,9:40,ES,Confirmed,Short,RDR,Advanced,W,4062.25,4071.25,3999.25,3999.25
05/05/2022,9:35,ES,Confirmed,Short,RDR,M7 Candle,W,4244.25,4252.75,4168.25,4168.25
05/05/2022,8:30,ES,Confirmed,Short,ODR,Advanced,W,4268.75,4272.5,4239.5,4239.5
05/05/2022,8:25,ES,Confirmed,Short,ODR,Advanced,EX,4266,4269.75,4239.5,4269.75
05/04/2022,10:25,ES,Confirmed,Short,RDR,Frontrun,BE,4160.5,4166.25,4139,4160.5
05/04/2022,9:40,ES,Confirmed,Short,RDR,Mode,BE,4174.25,4181,4139,4174.25
05/04/2022,7:05,ES,Confirmed,Long,ODR,Mode,BE,4183,4179.5,4207,4183
05/03/2022,9:50,ES,Confirmed,Long,RDR,Advanced,BE,4145.75,4138.5,4195.5,4145.75
05/03/2022,7:50,ES,Confirmed,Short,ODR,Advanced,EX,4142.5,4148,4091,4148
05/03/2022,10:45,ES,Confirmed,Long,RDR,Retired,W,4145.75,4138.5,4195.5,4195.5
05/02/2022,8:30,ES,Confirmed,Short,ODR,Mode,EX,4122.25,4130,4074.25,4130
05/02/2022,10:45,ES,Confirmed,Long,RDR,Mode,EX,4144.75,4137.75,4190,4137.75
05/02/2022,10:30,ES,Confirmed,Long,RDR,Mode,EX,4150.5,4144.5,4190,4144.5
04/29/2022,11:40,ES,Confirmed,Short,RDR,Mode,W,4220.5,4232.5,4150.75,4150.75
04/29/2022,10:00,ES,Confirmed,Short,In Between,WDR R...,W,4263.75,4271.5,4196,4196
04/29/2022,8:25,ES,Confirmed,Short,ODR,Advanced,BE,4255,4264.5,4188.75,4255
04/28/2022,9:40,ES,Confirmed,Short,RDR,M7 Candle,BE,4218,4226.5,4160.75,4218
04/26/2022,9:35,ES,Confirmed,Short,RDR,M7 Candle,W,4258.5,4266.5,4180.25,4180.25
04/25/2022,10:40,ES,Confirmed,Long,RDR,Mode,EX,4230.75,4221.75,4269,4221.75
04/25/2022,10:35,ES,Confirmed,Long,RDR,Mode,EX,4236.75,4230.75,4269.25,4230.75
04/22/2022,11:05,ES,Confirmed,Short,RDR,Mode,W,4342.5,4349.25,4280.25,4280.25
04/22/2022,7:35,ES,Confirmed,Short,ODR,Advanced,EX,4381.25,4385.25,4345.25,4385.25
04/21/2022,10:40,ES,Confirmed,Short,RDR,Frontrun,W,4493,4499,4437.5,4437.5
04/21/2022,8:35,ES,Confirmed,Long,In Between,Advanced,BE,4490.5,4486.25,4514,4490.5
04/21/2022,10:30,ES,Confirmed,Long,RDR,Frontrun,EX,4496.25,4492,4521.25,4492
04/20/2022,7:50,ES,Confirmed,Long,ODR,Mode,BE,4465,4462,4487,4465
04/20/2022,10:15,ES,Confirmed,Short,RDR,Mode,EX,4461.5,4466.75,4428.5,4466.75
04/20/2022,11:25,ES,Confirmed,Short,RDR,Mode,EX,4464.5,4469,4437.5,4469
04/19/2022,9:45,ES,Confirmed,Long,RDR,Mode,W,4402.75,4397.5,4459.25,4459.25
04/18/2022,11:05,ES,Confirmed,Long,RDR,Frontrun,EX,4394.25,4389.75,4421.25,4389.75
04/18/2022,10:30,ES,Confirmed,Long,RDR,Frontrun,EX,4396.25,4391.25,4421.25,4391.25
04/18/2022,8:25,ES,Confirmed,Long,ODR,Advanced,W,4374.5,4371.5,4403,4403
04/14/2022,11:25,ES,Confirmed,Short,RDR,Frontrun,W,4429.5,4438,4391.25,4391.25
04/14/2022,10:30,ES,Confirmed,Short,RDR,Frontrun,EX,4421.5,4429.25,4391.25,4429.25
04/13/2022,10:25,ES,Confirmed,Long,RDR,Frontrun,EX,4404.25,4398.25,4449.5,4398.25
04/13/2022,9:35,ES,Confirmed,Long,RDR,M7 Candle,BE,4399,4393,4450,4399
04/13/2022,10:45,ES,Confirmed,Long,RDR,Frontrun,W,4399,4393.25,4449.5,4411.25
04/12/2022,10:55,ES,Confirmed,Long,RDR,Mode,BE,4435.5,4429,4473.25,4435.5
04/11/2022,10:00,ES,Confirmed,Short,RDR,Mode,W,4449.75,4455,4415.75,4415.75
04/11/2022,8:15,ES,Confirmed,Short,ODR,Mode,EX,4451.5,4456,4428.75,4456
04/08/2022,8:35,ES,Confirmed,Short,In Between,Advanced,W,4505.5,4508,4476.25,4476.25
04/08/2022,10:15,ES,Confirmed,Short,RDR,Advanced,EX,4476.75,4482,4449.25,4482
04/08/2022,10:35,ES,Confirmed,Long,RDR,Frontrun,BE,4484.25,4480.5,4521,4484.25
04/08/2022,6:45,ES,Confirmed,Short,ODR,Advanced,EX,4505.75,4509.75,4476.25,4509.75
04/05/2022,10:55,ES,Confirmed,Short,RDR,Mode,W,4563.5,4567.75,4520,4520
04/05/2022,10:50,ES,Confirmed,Short,RDR,Mode,EX,4558.75,4564.25,4520,4564.25
04/04/2022,6:10,ES,Confirmed,Long,ODR,Mode,BE,4545.75,4542.5,4560.25,4545.75
04/04/2022,9:50,ES,Confirmed,Long,RDR,Advanced,W,4543,4537.75,4578.5,4578.5
04/01/2022,10:40,ES,Confirmed,Long,RDR,Frontrun,BE,4523.25,4517.25,4564.5,4523.25
04/01/2022,4:05,ES,Confirmed,Long,ODR,Frontrun,EX,4549.75,4546.5,4563.75,4546.5
04/01/2022,5:35,ES,Confirmed,Long,ODR,Mode,BE,4551.25,4548.5,4563,4551.25
03/31/2022,10:30,ES,Confirmed,Long,RDR,Frontrun,EX,4587.25,4581.25,4616.25,4581.25
03/31/2022,4:40,ES,Confirmed,Short,ODR,Advanced,W,4604.25,4608.25,4584.75,4584.75
03/31/2022,4:05,ES,Confirmed,Long,ODR,Frontrun,EX,4606.5,4604.25,4623,4604.25
03/30/2022,10:55,ES,Confirmed,Short,RDR,Frontrun,W,4612.25,4615.75,4581.25,4581.25
03/30/2022,7:35,ES,Confirmed,Short,ODR,Retired,W,4616.75,4620.75,4603,4603
03/30/2022,4:00,ES,Confirmed,Short,ODR,Frontrun,BE,4615,4618.75,4592.25,4615
03/29/2022,7:35,ES,Confirmed,Long,ODR,Mode,W,4581.75,4578,4616,4616
03/28/2022,10:50,ES,Confirmed,Short,RDR,Mode,W,4541.5,4545.5,4512,4512
03/28/2022,4:00,ES,Confirmed,Long,ODR,Mode,EX,4528,4523.5,4547.25,4523.5
03/28/2022,9:55,ES,Confirmed,Short,RDR,Mode,EX,4540.5,4545,4512,4545
03/28/2022,5:10,ES,Confirmed,Long,ODR,Mode,W,4530.25,4526.5,4547.25,4547.25
03/25/2022,7:15,ES,Confirmed,Long,ODR,Advanced,BE,4518,4514.5,4539.25,4518
03/25/2022,10:30,ES,Confirmed,Long,RDR,Frontrun,BE,4527.75,4522.75,4549.25,4527.75
03/24/2022,6:20,ES,Confirmed,Long,ODR,Mode,BE,4465.25,4462,4505.5,4465.25
03/24/2022,4:05,ES,Confirmed,Long,ODR,Mode,BE,4468.75,4466.5,4490,4468.75
03/24/2022,10:25,ES,Confirmed,Short,RDR,Frontrun,EX,4467.25,4471,4446.75,4471
03/24/2022,10:40,ES,Confirmed,Long,RDR,Advanced,W,4470.5,4466.5,4505.5,4505.5
03/23/2022,9:35,ES,Confirmed,Short,RDR,Mode,BE,4475.5,4478.5,4439,4475.5
03/23/2022,9:10,ES,Confirmed,Long,In Between,Mode,EX,4480,4477,4497.5,4477
03/23/2022,10:30,ES,Confirmed,Long,RDR,Mode,EX,4483.75,4480,4507.25,4480
03/23/2022,4:10,ES,Confirmed,Short,ODR,Mode,W,4503.25,4505.5,4482.5,4482.5
03/23/2022,11:15,ES,Confirmed,Long,RDR,Mode,BE,4484.75,4481,4507.25,4484.75
03/16/2022,10:40,ES,Confirmed,Long,RDR,Mode,EX,4327.25,4318.25,4360.5,4318.25
03/16/2022,9:35,ES,Confirmed,Long,RDR,M7 Candle,W,4309,4302,4341.5,4341.5
03/15/2022,3:55,ES,Confirmed,Short,ODR,Frontrun,EX,4162.5,4169,4124.5,4169
03/15/2022,7:50,ES,Confirmed,Long,ODR,Advanced,W,4174,4167.5,4215,4215
03/15/2022,10:50,ES,Confirmed,Long,RDR,Mode,W,4217.25,4208,4256.25,4256.25
03/14/2022,8:05,ES,Confirmed,Long,ODR,Advanced,EX,4217.25,4210.25,4277,4210.25
03/14/2022,9:55,ES,Confirmed,Long,RDR,Advanced,BE,4215.25,4207,4261,4215.25
03/14/2022,10:35,ES,Confirmed,Long,RDR,Frontrun,BE,4228.5,4221.25,4261,4228.5
03/14/2022,4:00,ES,Confirmed,Short,ODR,Frontrun,EX,4233.5,4240.25,4209.25,4240.25
03/11/2022,9:35,ES,Confirmed,Short,RDR,Mode,W,4285.75,4295.5,4215.75,4215.75
03/11/2022,11:40,ES,Confirmed,Short,RDR,Mode,BE,4250.25,4257.75,4215.25,4250.25
03/11/2022,4:20,ES,Confirmed,Long,ODR,Mode,W,4264.75,4260.75,4286.25,4286.25
03/10/2022,9:50,ES,Confirmed,Long,RDR,Advanced,BE,4233.75,4227,4306.25,4233.75
03/09/2022,9:55,ES,Confirmed,Long,RDR,Advanced,W,4236.5,4227,4288.5,4288.5
03/08/2022,11:35,ES,Confirmed,Long,RDR,Advanced,W,4162,4148.25,4233.25,4233.25
03/07/2022,9:35,ES,Confirmed,Short,RDR,Advanced,W,4318.5,4326,4238,4286.25
03/04/2022,10:30,ES,Confirmed,Short,RDR,Frontrun,BE,4306.75,4315.75,4264.75,4306.75
03/03/2022,11:20,ES,Confirmed,Long,RDR,Advanced,BE,4351.25,4346,4418.5,4351.25
